expName,subject_exp,noise,cue_n_label,abs_td_dist,bias_to_distr_corr,is_outlier
color_2,S10.color.2,low - low,First report,100.65,-36.0889838889426,0.0
color_2,S10.color.2,high - low,First report,131.39,-4.56760010203657,0.0
color_2,S10.color.2,high - high,First report,16.93,-7.61995386248235,0.0
color_2,S10.color.2,high - low,First report,146.42,-53.1613088433557,1.0
color_2,S10.color.2,low - low,First report,82.62,6.78724948953918,0.0
color_2,S10.color.2,high - low,First report,157.91,13.9764608621409,0.0
color_2,S10.color.2,high - high,First report,86.88,-17.0889838889426,0.0
color_2,S10.color.2,high - low,First report,15.05,19.9848482625932,0.0
color_2,S10.color.2,low - high,First report,63.06,-3.09489876407994,0.0
color_2,S10.color.2,high - high,First report,126.4,-8.56073688318698,0.0
color_2,S10.color.2,low - low,First report,77.49,-2.78256965815708,0.0
color_2,S10.color.2,low - low,First report,119.77,8.47845493457501,0.0
color_2,S10.color.2,low - low,First report,1.93999999999998,-0.680962498265886,0.0
color_2,S10.color.2,high - low,First report,13.19,18.1130349232646,0.0
color_2,S10.color.2,high - high,First report,74.32,-9.73146546017325,0.0
color_2,S10.color.2,low - low,First report,69.14,-11.8717158692874,0.0
color_2,S10.color.2,low - high,First report,82.04,0.239224469978863,0.0
color_2,S10.color.2,high - high,First report,60.89,-20.8752777495268,0.0
color_2,S10.color.2,low - low,First report,28.19,-2.31398768887288,0.0
color_2,S10.color.2,low - high,First report,111.95,10.3794983241901,0.0
color_2,S10.color.2,low - low,First report,9.40999999999998,17.8652443505791,0.0
color_2,S10.color.2,high - high,First report,71.16,-6.00330729766481,0.0
color_2,S10.color.2,high - high,First report,132.78,-19.3650890402084,0.0
color_2,S10.color.2,high - low,First report,24.39,-18.0374716790649,0.0
color_2,S10.color.2,high - high,First report,43.84,-2.11607956125034,0.0
color_2,S10.color.2,high - low,First report,0.590000000000014,4.45641777397157,0.0
color_2,S10.color.2,high - high,First report,94.77,9.85758993956855,0.0
color_2,S10.color.2,high - low,First report,106.55,29.1061658873229,1.0
color_2,S10.color.2,high - high,First report,142.34,-24.6806000610167,0.0
color_2,S10.color.2,high - high,First report,155.67,-13.2789512887352,0.0
color_2,S10.color.2,low - low,First report,51.94,1.87972677542518,0.0
color_2,S10.color.2,low - low,First report,142.16,-5.85853693066559,0.0
color_2,S10.color.2,low - high,First report,127.74,24.6709606459781,0.0
color_2,S10.color.2,low - high,First report,51.28,-5.34464056409598,0.0
color_2,S10.color.2,low - low,First report,93.24,5.58787040598392,0.0
color_2,S10.color.2,high - low,First report,163.74,-20.5323604249892,0.0
color_2,S10.color.2,low - low,First report,57.79,-6.37503017753475,0.0
color_2,S10.color.2,low - high,First report,107.63,-2.69311557316391,0.0
color_2,S10.color.2,high - low,First report,54.66,-7.15635101888473,0.0
color_2,S10.color.2,high - high,First report,142.6,1.0513364920784,0.0
color_2,S10.color.2,low - low,First report,19.0,6.12375006227041,0.0
